2019-08-06	¿ÀÀü 9:27
Function	Cp-Q
Auto Range	Enabled
Manual Impedance Range	100	Ohms
Signal Frequency	1000.000000	Hz
Signal Type	Voltage
Signal Level	1.000000
Measurement Time	Medium
Averaging Factor	1.000000
Sampling Rate	5.000000	Hz
Cp	Q
1.588020E-11	239.331000
1.587520E-11	208.737000
1.586620E-11	206.663000
1.587390E-11	245.443000
1.588490E-11	253.494000
1.589880E-11	243.889000
1.589540E-11	243.971000
1.589130E-11	282.175000
1.589640E-11	223.301000
1.589230E-11	262.208000
1.588140E-11	247.424000
1.588620E-11	220.975000
1.589990E-11	207.551000
1.589150E-11	231.523000
1.588600E-11	210.509000
1.588850E-11	199.091000
1.590060E-11	238.452000
1.589390E-11	220.896000
1.589490E-11	255.233000
1.588790E-11	234.716000
1.589850E-11	217.674000
1.589980E-11	237.844000
1.590860E-11	237.980000
1.590230E-11	249.005000
1.590680E-11	245.047000
1.591400E-11	247.428000
1.590590E-11	223.444000
1.591290E-11	235.889000
1.591050E-11	252.065000
1.590360E-11	270.719000
1.590800E-11	250.329000
1.590410E-11	259.022000
1.589650E-11	251.663000
1.589720E-11	206.859000
1.591150E-11	218.628000
1.590720E-11	267.037000
1.590660E-11	234.804000
1.590400E-11	245.785000
1.590980E-11	263.500000
1.591020E-11	220.003000
1.590950E-11	212.814000
1.590720E-11	221.239000
1.590900E-11	242.345000
1.590230E-11	257.473000
1.589980E-11	226.752000
1.590470E-11	202.222000
1.590810E-11	218.452000
1.591060E-11	224.179000
1.589160E-11	273.046000
1.589270E-11	246.698000
1.588800E-11	247.282000
1.587490E-11	281.904000
1.587340E-11	242.606000
1.589990E-11	213.090000
1.590420E-11	227.641000
1.590220E-11	267.832000
1.590140E-11	215.623000
1.589130E-11	216.696000
1.589040E-11	237.971000
1.588840E-11	232.675000
1.590030E-11	212.353000
1.589230E-11	256.460000
1.590130E-11	255.533000
1.589310E-11	244.219000
1.589970E-11	225.765000
1.590440E-11	224.201000
1.591330E-11	252.357000
1.590970E-11	237.389000
1.590600E-11	194.270000
1.591200E-11	241.718000
1.590340E-11	244.102000
1.589600E-11	216.846000
1.590320E-11	240.218000
1.591740E-11	232.196000
1.590770E-11	283.449000
