2019-08-06	오전 9:22
Function	Cp-Q
Auto Range	Enabled
Manual Impedance Range	100	Ohms
Signal Frequency	1000.000000	Hz
Signal Type	Voltage
Signal Level	1.000000
Measurement Time	Medium
Averaging Factor	1.000000
Sampling Rate	5.000000	Hz
Cp	Q
1.511520E-11	532.554000
1.512290E-11	403.000000
1.512090E-11	424.050000
1.511930E-11	606.410000
1.512270E-11	351.236000
1.511250E-11	612.204000
1.511320E-11	510.401000
1.512190E-11	511.404000
1.513010E-11	458.591000
1.512280E-11	483.648000
1.512860E-11	453.175000
1.512970E-11	532.880000
1.511600E-11	482.678000
1.511430E-11	408.817000
1.511770E-11	490.881000
1.511740E-11	474.512000
1.512680E-11	532.128000
1.511640E-11	487.351000
1.512320E-11	591.905000
1.512290E-11	503.492000
1.512040E-11	523.130000
1.512430E-11	566.139000
1.511980E-11	469.250000
1.513150E-11	517.525000
1.512550E-11	672.056000
1.510990E-11	610.375000
1.511290E-11	420.072000
1.512040E-11	472.984000
1.512370E-11	476.210000
1.512280E-11	503.889000
1.511630E-11	541.166000
1.511440E-11	767.707000
1.512180E-11	608.296000
1.512710E-11	400.301000
1.511690E-11	399.303000
1.512310E-11	491.128000
1.512240E-11	392.605000
1.512320E-11	655.140000
1.511780E-11	437.141000
1.511910E-11	381.666000
1.512340E-11	548.075000
1.510980E-11	410.853000
1.511120E-11	389.616000
1.511390E-11	501.418000
1.512090E-11	680.115000
1.511260E-11	531.715000
1.511530E-11	581.507000
1.512210E-11	598.539000
1.512150E-11	431.892000
1.511690E-11	368.985000
1.511690E-11	389.943000
1.511510E-11	548.489000
1.512650E-11	534.688000
1.511060E-11	545.903000
1.511200E-11	690.787000
1.510420E-11	486.802000
1.510770E-11	593.240000
1.511840E-11	596.478000
1.511520E-11	568.794000
1.511310E-11	506.021000
1.510920E-11	436.815000
1.511070E-11	527.770000
1.509980E-11	427.921000
1.511630E-11	657.507000
1.511020E-11	635.077000
1.510470E-11	457.734000
1.509980E-11	498.176000
1.511480E-11	508.418000
1.511650E-11	622.868000
1.510250E-11	712.025000
1.509980E-11	466.260000
1.510740E-11	380.000000
1.507440E-11	481.523000
1.507670E-11	497.106000
1.505860E-11	409.550000
1.504870E-11	608.862000
1.504440E-11	591.709000
1.505850E-11	511.970000
